campaign_id,name,channel,type,status,cost,start_date,end_date,created_at
1,Paid Search - Event Promotion - Q4 2022,Paid Search,Event Promotion,Paused,54507,2022-10-07,2022-12-18,2022-09-23T00:00:00
2,Organic Search - Brand Awareness - Q4 2021,Organic Search,Brand Awareness,Completed,2955,2021-12-20,2022-02-19,2021-12-09T00:00:00
3,Webinar - Thought Leadership - Q2 2024,Webinar,Thought Leadership,Active,26974,2024-04-25,2024-07-11,2024-04-19T00:00:00
4,Webinar - Demand Gen - Q2 2024,Webinar,Demand Gen,Paused,11743,2024-06-28,2024-10-12,2024-06-18T00:00:00
5,FY2023 Brand Awareness - Organic Search,Organic Search,Brand Awareness,Active,2514,2023-05-23,2023-06-14,2023-05-10T00:00:00
6,Email - Brand Awareness - Q4 2023,Email,Brand Awareness,Completed,8334,2023-12-31,2024-04-28,2023-12-24T00:00:00
7,Demand Gen Campaign - Webinar,Webinar,Demand Gen,Completed,26722,2021-03-11,2021-04-04,2021-03-03T00:00:00
8,FY2020 Event Promotion - Direct Mail,Direct Mail,Event Promotion,Paused,28033,2020-06-24,2020-08-20,2020-06-15T00:00:00
9,Paid Search - Brand Awareness - Q3 2022,Paid Search,Brand Awareness,Active,-53658,2022-09-30,2022-10-10,2022-09-19T00:00:00
10,FY2021 Event Promotion - Event,Event,Event Promotion,Active,199600,2021-01-11,2021-02-03,2021-01-03T00:00:00
11,Thought Leadership Campaign - Direct Mail,Direct Mail,Thought Leadership,Completed,7053,2023-06-01,2023-06-13,2023-05-27T00:00:00
12,FY2021 Product Launch - Content Syndication,Content Syndication,Product Launch,Completed,12975,2021-07-09,2021-10-06,2021-06-27T00:00:00
13,Demand Gen Campaign - Organic Search,Organic Search,Demand Gen,Completed,1939,2024-05-07,2024-08-09,2024-05-03T00:00:00
14,Nurture Campaign - Direct Mail,Direct Mail,Nurture,Active,31233,2024-08-01,2024-11-09,2024-07-30T00:00:00
15,Event - Thought Leadership - Q1 2022,Event,Thought Leadership,Completed,50826,2022-03-08,2022-06-27,2022-02-22T00:00:00
16,FY2021 Nurture - Email,Email,Nurture,Completed,,2021-11-18,2021-11-27,2021-11-06T00:00:00
17,FY2020 Demand Gen - Partner,Partner,Demand Gen,Completed,-11180,2020-11-16,2021-01-17,2020-11-06T00:00:00
18,Content Syndication - Thought Leadership - Q2 2024,Content Syndication,Thought Leadership,Completed,32484,2024-06-25,2024-07-22,2024-06-22T00:00:00
19,ABM Campaign - Direct Mail,Direct Mail,ABM,Paused,24311,2024-01-30,2024-04-22,2024-01-28T00:00:00
20,FY2023 Brand Awareness - Event,Event,Brand Awareness,Active,36605,2023-11-11,2023-12-04,2023-10-31T00:00:00
21,Paid Social - Event Promotion - Q3 2024,Paid Social,Event Promotion,Draft,88087,2024-08-23,2024-09-22,2024-08-22T00:00:00
22,Nurture Campaign - Organic Search,Organic Search,Nurture,Completed,2289,2023-10-13,2023-12-06,2023-10-06T00:00:00
23,Brand Awareness Campaign - Partner,Partner,Brand Awareness,Completed,1023,2021-05-05,2021-08-04,2021-04-26T00:00:00
24,FY2024 Brand Awareness - Content Syndication,Content Syndication,Brand Awareness,Completed,37158,2024-11-30,2025-03-20,2024-11-18T00:00:00
25,Referral - Event Promotion - Q3 2022,Referral,Event Promotion,Active,11700,2022-07-21,2022-07-28,2022-07-12T00:00:00
26,Content Syndication - Brand Awareness - Q2 2020,Content Syndication,Brand Awareness,Completed,25285,2020-06-14,2020-08-01,2020-06-13T00:00:00
27,FY2020 ABM - Webinar,Webinar,ABM,Completed,7074,2020-12-14,2021-02-01,2020-12-02T00:00:00
28,FY2024 Nurture - Paid Search,Paid Search,Nurture,Draft,75425,2024-12-29,2025-02-05,2024-12-26T00:00:00
29,Content Syndication - ABM - Q1 2022,Content Syndication,ABM,Active,,2022-03-16,2022-06-30,2022-03-09T00:00:00
30,FY2023 Product Launch - Webinar,Webinar,Product Launch,Active,17550,2023-09-14,2023-12-10,2023-09-04T00:00:00
31,Webinar - Demand Gen - Q3 2022,Webinar,Demand Gen,Paused,24156,2022-08-24,2022-10-11,2022-08-16T00:00:00
32,Demand Gen Campaign - Referral,Referral,Demand Gen,Completed,1190,2024-07-20,2024-08-05,2024-07-16T00:00:00
33,Nurture Campaign - Email,Email,Nurture,Completed,10456,2020-08-27,2020-12-01,2020-08-24T00:00:00
34,Organic Search - Nurture - Q3 2021,Organic Search,Nurture,Active,6033,2021-08-16,2021-11-27,2021-08-10T00:00:00
35,Content Syndication - Event Promotion - Q2 2024,Content Syndication,Event Promotion,Completed,19462,2024-06-07,2024-07-13,2024-06-06T00:00:00
36,FY2020 Brand Awareness - Paid Search,Paid Search,Brand Awareness,Completed,94720,2020-01-08,2020-03-18,2019-12-25T00:00:00
37,Product Launch Campaign - Email,Email,Product Launch,Completed,3850,2024-10-25,2025-01-11,2024-10-20T00:00:00
38,FY2024 Demand Gen - Partner,Partner,Demand Gen,Active,2022,2024-06-05,2024-06-28,2024-05-30T00:00:00
39,FY2022 Product Launch - Partner,Partner,Product Launch,Completed,7214,2022-11-06,2022-11-19,2022-11-04T00:00:00
40,FY2022 ABM - Referral,Referral,ABM,Active,,2022-03-27,2022-05-04,2022-03-14T00:00:00
41,Direct Mail - Event Promotion - Q1 2021,Direct Mail,Event Promotion,Completed,34117,2021-02-17,2021-05-12,2021-02-13T00:00:00
42,Event Promotion Campaign - Webinar,Webinar,Event Promotion,Completed,19713,2023-10-06,2023-12-28,2023-10-01T00:00:00
43,FY2024 Brand Awareness - Referral,Referral,Brand Awareness,Completed,2483,2024-02-15,2024-04-15,2024-02-09T00:00:00
44,Product Launch Campaign - Paid Social,Paid Social,Product Launch,Active,66251,2022-12-02,2023-02-14,2022-11-22T00:00:00
45,Product Launch Campaign - Referral,Referral,Product Launch,Completed,2586,2021-06-08,2021-07-13,2021-05-28T00:00:00
46,Thought Leadership Campaign - Paid Social,Paid Social,Thought Leadership,Completed,21053,2023-05-12,2023-07-19,2023-04-30T00:00:00
47,Event Promotion Campaign - Paid Search,Paid Search,Event Promotion,Completed,31417,2022-04-03,2022-06-19,2022-03-30T00:00:00
48,Event - Event Promotion - Q2 2024,Event,Event Promotion,Completed,35530,2024-04-14,2024-05-18,2024-04-03T00:00:00
49,Thought Leadership Campaign - Event,Event,Thought Leadership,Completed,51898,2022-08-06,2022-08-14,2022-07-31T00:00:00
50,Nurture Campaign - Webinar,Webinar,Nurture,Completed,34090,2023-03-01,2023-06-27,2023-02-25T00:00:00
51,Email - ABM - Q3 2021,Email,ABM,Active,10226,2021-08-06,2021-10-26,2021-07-29T00:00:00
52,FY2023 Thought Leadership - Email,Email,Thought Leadership,Completed,5005,2023-12-05,2024-03-31,2023-11-29T00:00:00
53,FY2021 Nurture - Organic Search,Organic Search,Nurture,Completed,4553,2021-04-20,2021-06-04,2021-04-19T00:00:00
54,Paid Search - Nurture - Q4 2022,,Nurture,Completed,24371,2022-11-30,2023-01-16,2022-11-18T00:00:00
55,Demand Gen Campaign - Partner,Partner,Demand Gen,Completed,17842,2020-04-13,2020-06-16,2020-03-31T00:00:00
56,FY2023 Demand Gen - Paid Search,Paid Search,Demand Gen,Active,35688,2023-06-09,2023-09-11,2023-06-03T00:00:00
57,Product Launch Campaign - Organic Search,Organic Search,Product Launch,Paused,5125,2024-09-27,2024-12-14,2024-09-18T00:00:00
58,FY2023 Demand Gen - Referral,Referral,Demand Gen,Draft,1489,2023-05-16,2023-06-14,2023-05-13T00:00:00
59,Direct Mail - Demand Gen - Q1 2020,Direct Mail,Demand Gen,Active,21910,2020-03-28,2020-04-11,2020-03-18T00:00:00
60,Organic Search - Brand Awareness - Q1 2022,Organic Search,Brand Awareness,Active,3927,2022-03-21,2022-04-16,2022-03-17T00:00:00
61,Paid Search - Product Launch - Q2 2024,Paid Search,Product Launch,Completed,20856,2024-06-19,2024-07-22,2024-06-13T00:00:00
62,Email - ABM - Q2 2020,Email,ABM,Active,-6792,2020-04-20,2020-05-21,2020-04-17T00:00:00
63,Partner - ABM - Q1 2021,Partner,ABM,Active,12035,2021-03-12,2021-04-07,2021-02-26T00:00:00
64,Thought Leadership Campaign - Email,Email,Thought Leadership,Draft,11496,2022-01-14,2022-03-10,2022-01-05T00:00:00
65,Product Launch Campaign - Paid Social,Paid Social,Product Launch,Completed,6211,2024-11-21,2025-01-23,2024-11-19T00:00:00
66,Webinar - Thought Leadership - Q4 2024,Webinar,Thought Leadership,Active,4188,2024-10-04,2025-01-14,2024-09-20T00:00:00
67,Brand Awareness Campaign - Event,Event,Brand Awareness,Completed,18160,2024-03-10,2024-06-11,2024-02-27T00:00:00
68,ABM Campaign - Paid Search,Paid Search,ABM,Active,-94266,2024-08-10,2024-11-12,2024-08-07T00:00:00
69,FY2023 Thought Leadership - Webinar,Webinar,Thought Leadership,Completed,28335,2023-03-24,2023-05-29,2023-03-23T00:00:00
70,FY2020 Brand Awareness - Organic Search,Organic Search,Brand Awareness,Draft,4161,2020-09-06,2020-10-17,2020-08-23T00:00:00
71,ABM Campaign - Email,Email,ABM,Active,12012,2024-02-26,2024-03-05,2024-02-24T00:00:00
72,Webinar - Nurture - Q1 2022,Webinar,Nurture,Completed,11800,2022-01-24,2022-02-05,2022-01-21T00:00:00
73,ABM Campaign - Email,Email,ABM,Completed,1766,2020-05-27,2020-06-28,2020-05-21T00:00:00
74,Direct Mail - Demand Gen - Q1 2021,Direct Mail,Demand Gen,Paused,10733,2021-03-26,2021-07-19,2021-03-20T00:00:00
75,FY2023 Product Launch - Direct Mail,Direct Mail,Product Launch,Completed,44446,2023-08-23,2023-09-03,2023-08-12T00:00:00
76,Event Promotion Campaign - Event,Event,Event Promotion,Active,142335,2021-03-06,2021-06-11,2021-02-22T00:00:00
77,FY2020 Event Promotion - Paid Search,Paid Search,Event Promotion,Completed,80016,2020-03-26,2020-04-05,2020-03-21T00:00:00
78,Event Promotion Campaign - Paid Social,Paid Social,Event Promotion,Completed,53431,2023-04-11,2023-04-19,2023-04-09T00:00:00
79,Organic Search - Thought Leadership - Q1 2022,Organic Search,Thought Leadership,Completed,4847,2022-02-12,2022-03-04,2022-01-29T00:00:00
80,Webinar - Event Promotion - Q2 2021,Webinar,Event Promotion,Completed,28541,2021-04-29,2021-05-11,2021-04-24T00:00:00
81,Webinar - Nurture - Q2 2024,Webinar,Nurture,Active,18467,2024-06-04,2024-07-31,2024-06-02T00:00:00
82,Product Launch Campaign - Direct Mail,Direct Mail,Product Launch,Draft,32392,2020-08-10,2020-09-16,2020-07-30T00:00:00
83,Event Promotion Campaign - Content Syndication,Content Syndication,Event Promotion,Active,11950,2023-03-30,2023-06-06,2023-03-28T00:00:00
84,FY2024 Product Launch - Webinar,Webinar,Product Launch,Active,-2093,2024-05-21,2024-06-28,2024-05-17T00:00:00
85,Direct Mail - Thought Leadership - Q2 2023,Direct Mail,Thought Leadership,Completed,30980,2023-06-16,2023-10-02,2023-06-05T00:00:00
86,Referral - Thought Leadership - Q3 2023,Referral,Thought Leadership,Active,8948,2023-08-05,2023-11-08,2023-08-03T00:00:00
87,FY2024 Demand Gen - Referral,Referral,Demand Gen,Completed,7275,2024-06-16,2024-07-02,2024-06-14T00:00:00
88,FY2021 Nurture - Paid Search,Paid Search,Nurture,Active,65069,2021-06-16,2021-08-09,2021-06-14T00:00:00
89,ABM Campaign - Email,Email,ABM,Active,8425,2020-04-10,2020-04-24,2020-04-09T00:00:00
90,FY2024 Demand Gen - Direct Mail,Direct Mail,Demand Gen,Completed,14928,2024-02-01,2024-05-31,2024-01-30T00:00:00
91,FY2022 ABM - Referral,Referral,ABM,Draft,4591,2022-12-20,2023-01-20,2022-12-10T00:00:00
92,Content Syndication - Event Promotion - Q1 2024,Content Syndication,Event Promotion,Completed,13127,2024-02-28,2024-05-16,2024-02-26T00:00:00
93,Event - Product Launch - Q4 2024,Event,Product Launch,Completed,11410,2024-10-25,2024-12-11,2024-10-21T00:00:00
94,Brand Awareness Campaign - Email,Email,Brand Awareness,Paused,7232,2022-01-22,2022-02-23,2022-01-13T00:00:00
95,FY2021 Event Promotion - Partner,Partner,Event Promotion,Completed,2153,2021-02-10,2021-05-10,2021-02-03T00:00:00
96,Brand Awareness Campaign - Referral,Referral,Brand Awareness,Paused,3208,2024-08-31,2024-09-10,2024-08-30T00:00:00
97,Partner - Event Promotion - Q1 2020,Partner,Event Promotion,Active,16277,2020-01-08,2020-02-11,2019-12-28T00:00:00
98,FY2020 Event Promotion - Referral,Referral,Event Promotion,Draft,10670,2020-09-06,2020-12-18,2020-09-04T00:00:00
99,Product Launch Campaign - Email,Email,Product Launch,Completed,5540,2020-02-08,2020-05-22,2020-02-04T00:00:00
100,Webinar - Brand Awareness - Q4 2024,Webinar,Brand Awareness,Draft,4216,2024-10-25,2024-11-11,2024-10-24T00:00:00
101,Partner - Product Launch - Q3 2023,Partner,Product Launch,Draft,8920,2023-07-16,2023-08-07,2023-07-14T00:00:00
102,FY2024 ABM - Content Syndication,Content Syndication,ABM,Paused,6365,2024-04-28,2024-06-01,2024-04-15T00:00:00
103,FY2024 Event Promotion - Direct Mail,Direct Mail,Event Promotion,Completed,7696,2024-03-14,2024-04-10,2024-03-13T00:00:00
104,Email - Demand Gen - Q4 2021,Email,Demand Gen,Completed,1720,2021-10-30,2022-02-11,2021-10-29T00:00:00
105,Brand Awareness Campaign - Referral,Referral,Brand Awareness,Completed,5266,2020-08-13,2020-09-21,2020-07-31T00:00:00
106,Content Syndication - Product Launch - Q3 2024,Content Syndication,Product Launch,Active,9706,2024-09-15,2024-11-04,2024-09-10T00:00:00
107,Paid Social - ABM - Q3 2021,Paid Social,ABM,Completed,34887,2021-07-25,2021-10-03,2021-07-20T00:00:00
108,Email - Nurture - Q1 2023,Email,Nurture,Active,10888,2023-02-16,2023-03-25,2023-02-12T00:00:00
109,ABM Campaign - Email,Email,ABM,Draft,2978,2020-05-18,2020-05-30,2020-05-09T00:00:00
110,ABM Campaign - Content Syndication,Content Syndication,ABM,Completed,54316,2022-02-22,2022-03-27,2022-02-10T00:00:00
111,FY2022 Event Promotion - Organic Search,Organic Search,Event Promotion,Completed,1996,2022-09-09,2022-11-28,2022-09-04T00:00:00
112,Event - Event Promotion - Q4 2023,Event,Event Promotion,Completed,96393,2023-11-19,2024-02-14,2023-11-13T00:00:00
113,Event Promotion Campaign - Webinar,Webinar,Event Promotion,Completed,12118,2024-08-09,2024-11-11,2024-07-30T00:00:00
114,FY2021 Nurture - Paid Social,Paid Social,Nurture,Draft,11571,2021-02-22,2021-03-06,2021-02-11T00:00:00
115,Direct Mail - Thought Leadership - Q3 2023,Direct Mail,Thought Leadership,Completed,22846,2023-07-17,2023-07-24,2023-07-07T00:00:00
116,Webinar - Nurture - Q3 2021,Webinar,Nurture,Completed,15320,2021-07-11,2021-10-21,2021-07-07T00:00:00
117,ABM Campaign - Paid Search,Paid Search,ABM,Completed,83901,2024-04-22,2024-08-01,2024-04-15T00:00:00
118,FY2024 Brand Awareness - Referral,Referral,Brand Awareness,Completed,2424,2024-11-26,2025-03-14,2024-11-21T00:00:00
119,Thought Leadership Campaign - Paid Search,Paid Search,Thought Leadership,Completed,,2020-03-22,2020-05-14,2020-03-17T00:00:00
120,FY2022 Nurture - Organic Search,Organic Search,Nurture,Paused,1425,2022-12-13,2023-04-05,2022-12-03T00:00:00
121,Thought Leadership Campaign - Paid Social,Paid Social,Thought Leadership,Completed,36113,2021-06-05,2021-08-03,2021-05-27T00:00:00
122,Event Promotion Campaign - Webinar,Webinar,Event Promotion,Active,21975,2021-10-02,2022-01-04,2021-09-21T00:00:00
123,Email - Nurture - Q3 2022,Email,Nurture,Paused,11335,2022-08-18,2022-12-08,2022-08-06T00:00:00
124,Event - Event Promotion - Q3 2024,Event,Event Promotion,Completed,70107,2024-09-12,2024-12-14,2024-09-08T00:00:00
125,Email - Product Launch - Q2 2024,Email,Product Launch,Completed,5019,2024-04-10,2024-07-16,2024-04-06T00:00:00
126,FY2021 Brand Awareness - Paid Social,Paid Social,Brand Awareness,Active,,2021-12-06,2021-12-31,2021-11-29T00:00:00
127,Thought Leadership Campaign - Webinar,Webinar,Thought Leadership,Draft,20702,2022-07-25,2022-08-12,2022-07-12T00:00:00
128,Partner - Brand Awareness - Q2 2024,Partner,Brand Awareness,Active,18927,2024-05-08,2024-08-22,2024-05-04T00:00:00
129,Brand Awareness Campaign - Referral,Referral,Brand Awareness,Active,12026,2023-09-12,2023-11-02,2023-08-30T00:00:00
130,FY2022 Event Promotion - Direct Mail,Direct Mail,Event Promotion,Active,25356,2022-06-25,2022-09-23,2022-06-17T00:00:00
131,Organic Search - Event Promotion - Q4 2020,Organic Search,Event Promotion,Active,3478,2020-11-07,2021-02-18,2020-11-05T00:00:00
132,Demand Gen Campaign - Webinar,Webinar,Demand Gen,Completed,35837,2023-08-09,2023-09-06,2023-08-05T00:00:00
133,FY2020 Demand Gen - Paid Social,Paid Social,Demand Gen,Completed,42535,2020-01-13,2020-03-06,2020-01-03T00:00:00
134,FY2022 Thought Leadership - Webinar,Webinar,Thought Leadership,Completed,22768,2022-07-11,2022-07-27,2022-07-06T00:00:00
135,FY2023 ABM - Content Syndication,Content Syndication,ABM,Active,7688,2023-10-18,2023-12-03,2023-10-16T00:00:00
136,Paid Search - Thought Leadership - Q3 2024,Paid Search,Thought Leadership,Active,44281,2024-07-06,2024-08-05,2024-06-26T00:00:00
137,FY2023 ABM - Partner,Partner,ABM,Active,2418,2023-07-16,2023-07-30,2023-07-05T00:00:00
138,Direct Mail - Nurture - Q3 2021,Direct Mail,Nurture,Completed,26111,2021-08-24,2021-08-31,2021-08-19T00:00:00
139,Event Promotion Campaign - Paid Search,Paid Search,Event Promotion,Completed,24093,2022-06-23,2022-08-11,2022-06-19T00:00:00
140,Webinar - Brand Awareness - Q3 2021,Webinar,Brand Awareness,Paused,36360,2021-09-01,2021-11-16,2021-08-19T00:00:00
141,Event - Brand Awareness - Q3 2022,Event,Brand Awareness,Completed,210867,2022-09-24,2022-12-08,2022-09-22T00:00:00
142,FY2024 Brand Awareness - Organic Search,Organic Search,Brand Awareness,Completed,3150,2024-01-11,2024-03-25,2023-12-28T00:00:00
143,FY2023 Product Launch - Content Syndication,Content Syndication,Product Launch,Completed,59007,2023-09-03,2023-11-20,2023-08-26T00:00:00
144,FY2022 Demand Gen - Referral,Referral,Demand Gen,Active,11892,2022-03-10,2022-03-21,2022-02-28T00:00:00
145,Content Syndication - ABM - Q2 2023,Content Syndication,ABM,Paused,44764,2023-06-26,2023-10-20,2023-06-18T00:00:00
146,Email - Thought Leadership - Q3 2022,Email,Thought Leadership,Paused,9408,2022-07-30,2022-09-24,2022-07-27T00:00:00
147,Paid Search - Demand Gen - Q4 2021,Paid Search,Demand Gen,Active,4318,2021-10-23,2022-02-03,2021-10-18T00:00:00
148,Event Promotion Campaign - Partner,Partner,Event Promotion,Paused,12241,2022-01-08,2022-04-26,2021-12-25T00:00:00
149,FY2023 ABM - Event,Event,ABM,Completed,181603,2023-04-04,2023-07-26,2023-03-31T00:00:00
150,FY2023 Event Promotion - Event,Event,Event Promotion,Active,96555,2023-05-19,2023-07-13,2023-05-14T00:00:00
151,FY2021 Brand Awareness - Referral,Referral,Brand Awareness,Completed,7631,2021-07-04,2021-09-10,2021-06-24T00:00:00
152,Partner - Event Promotion - Q1 2023,Partner,Event Promotion,Active,21816,2023-01-24,2023-02-15,2023-01-16T00:00:00
153,Organic Search - Demand Gen - Q2 2023,Organic Search,Demand Gen,Completed,3833,2023-05-23,2023-07-29,2023-05-19T00:00:00
154,Direct Mail - Product Launch - Q4 2023,Direct Mail,Product Launch,Draft,15691,2023-11-09,2023-12-10,2023-10-29T00:00:00
155,FY2024 Brand Awareness - Paid Social,Paid Social,Brand Awareness,Completed,97631,2024-09-27,2024-10-08,2024-09-16T00:00:00
156,Referral - Product Launch - Q3 2020,Referral,Product Launch,Paused,,2020-07-05,2020-07-30,2020-07-01T00:00:00
157,ABM Campaign - Direct Mail,Direct Mail,ABM,Completed,22818,2023-10-30,2024-02-15,2023-10-20T00:00:00
158,Event Promotion Campaign - Referral,Referral,Event Promotion,Draft,544,2024-05-20,2024-08-09,2024-05-09T00:00:00
159,Nurture Campaign - Organic Search,Organic Search,Nurture,Paused,,2020-07-25,2020-11-15,2020-07-14T00:00:00
160,FY2021 Demand Gen - Email,Email,Demand Gen,Completed,307,2021-01-10,2021-04-30,2021-01-03T00:00:00
161,Nurture Campaign - Direct Mail,Direct Mail,Nurture,Paused,35917,2020-05-30,2020-06-09,2020-05-19T00:00:00
162,Direct Mail - ABM - Q3 2020,Direct Mail,ABM,Active,14830,2020-09-15,2020-12-03,2020-09-10T00:00:00
163,FY2021 Thought Leadership - Partner,Partner,Thought Leadership,Completed,1877,2021-12-20,2022-04-04,2021-12-10T00:00:00
164,FY2022 ABM - Partner,Partner,ABM,Active,,2022-08-02,2022-09-08,2022-07-21T00:00:00
165,FY2022 ABM - Organic Search,Organic Search,ABM,Draft,3086,2022-03-02,2022-06-28,2022-02-27T00:00:00
166,FY2024 Demand Gen - Organic Search,Organic Search,Demand Gen,Completed,1051,2024-12-12,2024-12-31,2024-12-06T00:00:00
167,Event - Demand Gen - Q4 2020,Event,Demand Gen,Completed,158265,2020-11-26,2020-12-13,2020-11-17T00:00:00
168,Nurture Campaign - Direct Mail,Direct Mail,Nurture,Completed,32541,2022-03-26,2022-07-24,2022-03-16T00:00:00
169,Partner - Thought Leadership - Q1 2024,Partner,Thought Leadership,Active,13722,2024-01-05,2024-02-24,2024-01-01T00:00:00
170,Webinar - Product Launch - Q2 2020,Webinar,Product Launch,Paused,6519,2020-04-15,2020-06-16,2020-04-04T00:00:00
171,Brand Awareness Campaign - Content Syndication,Content Syndication,Brand Awareness,Active,62296,2020-03-09,2020-04-11,2020-03-03T00:00:00
172,Event Promotion Campaign - Referral,Referral,Event Promotion,Active,2224,2021-12-11,2022-01-13,2021-11-29T00:00:00
173,Event Promotion Campaign - Event,Event,Event Promotion,Completed,168564,2024-10-15,2024-11-05,2024-10-12T00:00:00
174,Paid Search - Demand Gen - Q3 2022,Paid Search,Demand Gen,Active,26625,2022-08-17,2022-10-27,2022-08-14T00:00:00
175,FY2021 Event Promotion - Paid Search,Paid Search,Event Promotion,Active,,2021-08-29,2021-12-22,2021-08-16T00:00:00
176,Partner - Demand Gen - Q1 2023,Partner,Demand Gen,Completed,3678,2023-01-13,2023-02-28,2023-01-04T00:00:00
177,Brand Awareness Campaign - Paid Social,Paid Social,Brand Awareness,Active,18615,2023-11-02,2024-01-25,2023-10-28T00:00:00
178,Thought Leadership Campaign - Organic Search,Organic Search,Thought Leadership,Draft,691,2023-07-06,2023-10-24,2023-06-28T00:00:00
179,FY2020 Demand Gen - Direct Mail,Direct Mail,Demand Gen,Completed,30056,2020-05-30,2020-06-11,2020-05-21T00:00:00
180,FY2020 ABM - Paid Social,Paid Social,ABM,Completed,18319,2020-12-31,2021-02-08,2020-12-17T00:00:00
181,ABM Campaign - Organic Search,Organic Search,ABM,Active,1850,2021-03-17,2021-05-05,2021-03-15T00:00:00
182,Demand Gen Campaign - Partner,Partner,Demand Gen,Paused,14870,2024-03-12,2024-06-13,2024-03-05T00:00:00
183,FY2024 Brand Awareness - Email,Email,Brand Awareness,Completed,8262,2024-03-26,2024-05-27,2024-03-23T00:00:00
184,Nurture Campaign - Event,Event,Nurture,Active,195241,2021-07-16,2021-09-15,2021-07-13T00:00:00
185,FY2021 Thought Leadership - Webinar,Webinar,Thought Leadership,Completed,27881,2021-08-08,2021-09-30,2021-07-26T00:00:00
186,Webinar - Demand Gen - Q4 2024,Webinar,Demand Gen,Draft,15232,2024-11-09,2025-02-24,2024-10-28T00:00:00
187,Brand Awareness Campaign - Direct Mail,Direct Mail,Brand Awareness,Active,11485,2020-08-05,2020-08-29,2020-07-31T00:00:00
188,Paid Social - ABM - Q1 2022,Paid Social,ABM,Completed,31976,2022-02-22,2022-03-12,2022-02-20T00:00:00
189,Event Promotion Campaign - Paid Search,Paid Search,Event Promotion,Draft,61353,2024-01-16,2024-05-04,2024-01-03T00:00:00
190,Event - Event Promotion - Q4 2024,Event,Event Promotion,Completed,27509,2024-10-16,2024-10-29,2024-10-03T00:00:00
191,Referral - Nurture - Q2 2024,Referral,Nurture,Draft,7634,2024-06-05,2024-09-20,2024-05-25T00:00:00
192,FY2020 Demand Gen - Organic Search,Organic Search,Demand Gen,Draft,3422,2020-11-12,2021-02-23,2020-11-10T00:00:00
193,FY2022 Brand Awareness - Referral,Referral,Brand Awareness,Completed,2065,2022-08-30,2022-09-08,2022-08-26T00:00:00
194,FY2020 Product Launch - Email,Email,Product Launch,Completed,9230,2020-06-05,2020-06-22,2020-05-25T00:00:00
195,Paid Search - Demand Gen - Q4 2023,Paid Search,Demand Gen,Active,40911,2023-11-07,2024-01-13,2023-10-31T00:00:00
196,FY2021 Demand Gen - Email,Email,Demand Gen,Completed,5282,2021-08-18,2021-10-19,2021-08-09T00:00:00
197,Product Launch Campaign - Organic Search,Organic Search,Product Launch,Active,,2021-07-15,2021-07-22,2021-07-13T00:00:00
198,FY2024 Nurture - Paid Search,Paid Search,Nurture,Completed,77541,2024-09-06,2024-10-10,2024-08-29T00:00:00
199,Paid Search - Event Promotion - Q3 2024,Paid Search,Event Promotion,Active,12182,2024-07-27,2024-10-28,2024-07-26T00:00:00
200,Nurture Campaign - Partner,Partner,Nurture,Completed,23537,2022-09-22,2022-10-28,2022-09-10T00:00:00
